sigle,titre,credits,prealables,url
ECN-4901,Analyse économique en ingénierie,3,,https://www.ulaval.ca/etudes/cours/ecn-4901-analyse-economique-en-ingenierie
ENT-1000,Savoir entreprendre : la passion de créer et d'agir,3,,https://www.ulaval.ca/etudes/cours/ent-1000-savoir-entreprendre-la-passion-de-creer-et-dagir
ENT-2023,Entrepreneuriat technologique,3,,https://www.ulaval.ca/etudes/cours/ent-2023-entrepreneuriat-technologique
ENT-3000,Mon projet entrepreneurial en action 1,3,ENT-1000 ET  Crédits exigés : 21,https://www.ulaval.ca/etudes/cours/ent-3000-mon-projet-entrepreneurial-en-action-1
ENT-3010,Mon projet entrepreneurial en action 2,3,ENT-3000,https://www.ulaval.ca/etudes/cours/ent-3010-mon-projet-entrepreneurial-en-action-2
ENT-4020,Introduction à l'entrepreneurship technologique,3,1000 à 4999 Crédits exigés : 60,https://www.ulaval.ca/etudes/cours/ent-4020-introduction-a-lentrepreneurship-technologique
GAE-2005,Tracteurs et systèmes hydrauliques,3,FOR-2151 OU GMC-1002,https://www.ulaval.ca/etudes/cours/gae-2005-tracteurs-et-systemes-hydrauliques
GBO-2040,Charpentes en bois I,3,GMC-1001 OU FOR-2151 OU GCI-2000,https://www.ulaval.ca/etudes/cours/gbo-2040-charpentes-en-bois-i
GBO-4070,Enveloppe du bâtiment,3,,https://www.ulaval.ca/etudes/cours/gbo-4070-enveloppe-du-batiment
GCI-2004,Structures de béton,3,( GCI-1000 OU GML-1001 ) ET ( GCI-2001 OU GMC-2001 ),https://www.ulaval.ca/etudes/cours/gci-2004-structures-de-beton
GCI-2007,Structures métalliques,3,( GCI-1000 OU GML-1001 ) ET ( GCI-2001 OU GMC-2001 ),https://www.ulaval.ca/etudes/cours/gci-2007-structures-metalliques
GCI-3001,Impacts environnementaux,3,Crédits exigés : 45,https://www.ulaval.ca/etudes/cours/gci-3001-impacts-environnementaux
GCI-3002,Gestion des eaux,3,,https://www.ulaval.ca/etudes/cours/gci-3002-gestion-des-eaux
GEL-1000,Circuits,3,MAT-1900 * OU PHY-1002 *,https://www.ulaval.ca/etudes/cours/gel-1000-circuits
GEL-2003,Électrotechnique,4,(( GEL-1000 ET GEL-1002 ) OU GPH-2006 OU GMC-3006 ) ET ( GEL-2000 OU GEL-2900 OU GEL-2910 OU PHY-1007 OU GMC-3003 ) ET GEL-4799 *,https://www.ulaval.ca/etudes/cours/gel-2003-electrotechnique
GEL-4100,Commande industrielle,3,(( GEL-2005 ET GEL-3003 *) OU GCH-3000 OU GMC-3002 ),https://www.ulaval.ca/etudes/cours/gel-4100-commande-industrielle
GEL-4250,Commande des systèmes avancée,3,GEL-2005 OU GMC-3002,https://www.ulaval.ca/etudes/cours/gel-4250-commande-des-systemes-avancee
